chembl_id,compound_name,SMILES,linked_proteins,num_linked_proteins,num_druggable_proteins,linked_pathways,num_linked_pathways,num_key_pathways,linked_MoAs,approval_phase_max,status_evidence,in_known_drugs,in_moa_kg,source_files,prelim_mechanistic_score,CYP3A4_p_value_0,CYP3A4_p_value_1,CYP3A4_CYP3A4_inhibition,CYP2D6_p_value_0,CYP2D6_p_value_1,CYP2D6_CYP2D6_inhibition,CYP2C9_p_value_0,CYP2C9_p_value_1,CYP2C9_CYP2C9_inhibition,CYP2C19_p_value_0,CYP2C19_p_value_1,CYP2C19_CYP2C19_inhibition,CYP1A2_p_value_0,CYP1A2_p_value_1,CYP1A2_CYP1A2_inhibition,hERG_p_value_0,hERG_p_value_1,hERG_hERG_inhibition,AMES_p_value_0,AMES_p_value_1,AMES_AMES_mutagenic,PGP_p_value_0,PGP_p_value_1,PGP_PGP_inhibition,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity_logP,PAMPA_p_value_0,PAMPA_p_value_1,PAMPA_PAMPA_permeability,BBB_p_value_0,BBB_p_value_1,BBB_BBB_penetration,hERG_flag,CYP3A4_inhib_flag,CYP2D6_inhib_flag,CYP2C9_inhib_flag,CYP2C19_inhib_flag,CYP1A2_inhib_flag,PGP_inhib_flag,AMES_flag,poor_solubility_flag,good_solubility_bonus,high_logP_flag,low_logP_flag,good_logP_bonus,low_perm_flag,good_perm_bonus,bbb_penetrant_info,multi_cyp_inhib_count,cyp3a4_inhibitor_flag,DDI_flag,composite_score,confidence
CHEMBL1200419,MOLINDONE HYDROCHLORIDE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2.Cl,,0,0,,0,0,Serotonin 2a (5-HT2a) receptor antagonist,,,0,0,mechanism_drug_candidate,0.0,0.128,0.417,1.0,0.309,0.242,0.5,0.64,0.0687,0.0,0.0261,0.797,1.0,0.403,0.0831,0.0,0.198,0.239,1,0.32,0.0869,0.0,0.91,0.00559,0,-0.837,-1.67,-0.00309,-1.67,-0.00309,2.3846200000000013,0.583,0.0878,0.0,0.0076,0.994,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,-10.0,L
CHEMBL1200420,MIDAZOLAM HYDROCHLORIDE,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.Cl,,0,0,,0,0,GABA-A receptor; anion channel positive allosteric modulator,,,0,0,mechanism_drug_candidate,0.0,0.365,0.177,0.0,0.265,0.282,0.5,0.464,0.11,0.0,0.498,0.0909,0.0,0.0432,0.566,1.0,0.0312,0.561,1,0.226,0.175,0.0,0.0406,0.394,1,-4.68,-5.38,-3.98,-5.38,-3.98,4.746020000000003,0.302,0.324,0.5,0.0228,0.999,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,-11.5,L
CHEMBL1200434,OXTRIPHYLLINE,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,,0,0,"R-HSA-180024|DARPP-32 events;R-HSA-418555|G alpha (s) signalling events;R-HSA-9860927|Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",3,0,Phosphodiesterase 4 inhibitor,4.0,,0,0,pathway_drug_candidates;mechanism_drug_candidate,4.0,0.825,0.0262,0.0,0.873,0.0284,0.0,0.916,0.00691,0.0,0.956,0.00481,0.0,0.791,0.0112,0.0,0.857,0.0257,0,0.797,0.0263,0.0,0.844,0.0329,0,0.963,0.484,1.44,0.484,1.44,-1.725699999999997,0.785,0.0196,0.0,0.133,0.393,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,L
CHEMBL1200436,OXANDROLONE,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,,0,0,R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors,3,0,,3.0,Withdrawn,0,0,pathway_drug_candidates,3.0,0.585,0.0736,0.0,0.481,0.147,0.0,0.591,0.079,0.0,0.235,0.248,0.5,0.775,0.0143,0.0,0.0879,0.368,1,0.327,0.112,0.0,0.184,0.173,0.5,-4.6,-5.17,-4.04,-5.17,-4.04,3.543100000000003,0.476,0.147,0.0,0.688,0.0094,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-6.5,L
CHEMBL1200449,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,0,0,,0,0,Glucocorticoid receptor agonist,,,0,0,mechanism_drug_candidate,0.0,0.576,0.0795,0.0,0.571,0.104,0.0,0.505,0.0988,0.0,0.838,0.014,0.0,0.712,0.0204,0.0,0.298,0.192,0,0.466,0.0671,0.0,0.13,0.171,1,-4.11,-4.58,-3.64,-4.58,-3.64,1.7620999999999991,0.44,0.168,0.0,0.0528,0.815,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-3.0,L
CHEMBL1200461,MIDODRINE HYDROCHLORIDE,COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl,,0,0,R-HSA-390696|Adrenoceptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-418597|G alpha (12/13) signalling events,3,0,,3.0,Terminated,0,0,pathway_drug_candidates,3.0,0.0742,0.531,1.0,0.494,0.148,0.0,0.528,0.092,0.0,0.463,0.102,0.0,0.0635,0.438,1.0,0.329,0.163,0,0.145,0.261,1.0,0.345,0.12,0,-0.862,-1.9,0.178,-1.9,0.178,0.2339000000000002,0.628,0.0669,0.0,0.0351,0.882,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,-3.5,L
CHEMBL1200463,OXAPROZIN POTASSIUM,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1.[K+],,0,0,,0,0,Cyclooxygenase inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.422,0.147,0.0,0.487,0.152,0.0,0.215,0.291,0.5,0.291,0.197,0.0,0.0855,0.385,1.0,0.809,0.037,0,0.658,0.0389,0.0,0.381,0.136,0,-1.46,-2.55,-0.379,-2.55,-0.379,-0.3048999999999999,0.681,0.0407,0.0,0.697,0.00975,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,-3.0,L
CHEMBL1200467,HYDROXYZINE PAMOATE,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,0,0,R-HSA-416476|G alpha (q) signalling events,1,0,,4.0,,0,0,pathway_drug_candidates,4.0,0.956,0.00569,0.0,0.455,0.16,0.0,0.789,0.0257,0.0,0.891,0.0125,0.0,0.908,0.00606,0.0,0.00468,0.872,1,0.474,0.0823,0.0,0.276,0.167,0,-3.37,-4.24,-2.49,-4.24,-2.49,7.447300000000008,0.789,0.0344,0.0,0.188,0.321,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-3.0,L
CHEMBL1200469,PROMAZINE HYDROCHLORIDE,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,,0,0,,0,0,D2-like dopamine receptor antagonist | Serotonin 2a (5-HT2a) receptor antagonist,,,0,0,mechanism_drug_candidate,0.0,0.701,0.0495,0.0,0.0256,0.697,1.0,0.691,0.0501,0.0,0.282,0.195,0.0,0.304,0.132,0.0,0.132,0.303,1,0.414,0.0773,0.0,0.158,0.184,1,-3.95,-5.2,-2.7,-5.2,-2.7,4.662800000000004,0.407,0.248,0.0,0.0199,0.978,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-9.0,L
CHEMBL1200472,QUAZEPAM,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,,0,0,,0,0,GABA-A receptor; anion channel positive allosteric modulator,,,0,0,mechanism_drug_candidate,0.0,0.135,0.389,1.0,0.157,0.389,1.0,0.0685,0.576,1.0,0.29,0.176,0.0,0.0271,0.664,1.0,0.533,0.0982,0,0.311,0.118,0.0,0.111,0.219,1,-6.01,-6.53,-5.49,-6.53,-5.49,5.026200000000003,0.185,0.529,1.0,0.0417,0.864,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,-9.0,L
CHEMBL1200474,DEMECLOCYCLINE HYDROCHLORIDE,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl,,0,0,,0,0,Bacterial 70S ribosome inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.799,0.028,0.0,0.817,0.0445,0.0,0.129,0.465,1.0,0.487,0.0942,0.0,0.404,0.0951,0.0,0.508,0.105,0,0.814,0.0254,0.0,0.752,0.0564,0,-2.77,-3.71,-1.83,-3.71,-1.83,0.6867000000000003,0.833,0.0213,0.0,0.102,0.504,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,L
CHEMBL1200485,SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,,0,0,R-HSA-1433557|Signaling by SCF-KIT;R-HSA-5673001|RAF/MAP kinase cascade;R-HSA-8866910|TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,3,0,,4.0,,0,0,pathway_drug_candidates,4.0,0.335,0.19,0.0,0.526,0.118,0.0,0.803,0.027,0.0,0.299,0.179,0.0,0.67,0.0304,0.0,0.913,0.0184,0,0.989,0.00239,0.0,0.386,0.146,0,-5.09,-5.92,-4.26,-5.92,-4.26,6.791420000000006,0.07,0.884,1.0,0.133,0.49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,L
CHEMBL1200491,EPINASTINE HYDROCHLORIDE,Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12,,0,0,R-HSA-416476|G alpha (q) signalling events,1,0,,4.0,,0,0,pathway_drug_candidates,4.0,0.362,0.17,0.0,0.19,0.327,1.0,0.274,0.242,0.5,0.137,0.367,1.0,0.324,0.113,0.0,0.622,0.0769,0,0.171,0.214,1.0,0.433,0.116,0,-3.77,-4.92,-2.62,-4.92,-2.62,2.888600000000001,0.619,0.0654,0.0,0.00388,0.969,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,-1.5,L
CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl,,0,0,,0,0,Serotonin 2a (5-HT2a) receptor antagonist,,,0,0,mechanism_drug_candidate,0.0,0.946,0.00706,0.0,0.474,0.165,0.0,0.844,0.0151,0.0,0.14,0.373,1.0,0.126,0.3,1.0,0.00398,0.884,1,0.942,0.00761,0.0,0.0302,0.366,1,-4.55,-5.37,-3.72,-5.37,-3.72,3.973700000000003,0.136,0.672,1.0,0.00998,0.987,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,-9.0,L
CHEMBL1200494,GUANFACINE HYDROCHLORIDE,Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,,0,0,"R-HSA-390696|Adrenoceptors;R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor;R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion;R-HSA-418594|G alpha (i) signalling events;R-HSA-418597|G alpha (z) signalling events;R-HSA-5683826|Surfactant metabolism",6,0,,4.0,,0,0,pathway_drug_candidates,4.0,0.34,0.187,0.0,0.391,0.194,0.0,0.283,0.212,0.5,0.263,0.22,0.5,0.102,0.381,1.0,0.352,0.164,0,0.235,0.165,0.0,0.445,0.108,0,-2.35,-3.75,-0.956,-3.75,-0.956,1.96737,0.729,0.023,0.0,0.0307,0.917,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.5,L
CHEMBL1200495,HYDROCORTISONE SODIUM SUCCINATE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+],NR3C1,1,1,"Circadian Clock;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors;R-HSA-8849473|PTK6 Expression;R-HSA-8939902|Regulation of RUNX2 expression and activity;R-HSA-9615017|FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;R-HSA-9679191|Potential therapeutics for SARS;R-HSA-9768777|Regulation of NPAS4 gene transcription",9,0,Glucocorticoid receptor agonist,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,6.0,0.626,0.0614,0.0,0.99,0.00333,0.0,0.796,0.0205,0.0,0.732,0.04,0.0,0.964,0.00358,0.0,0.791,0.0379,0,0.793,0.0292,0.0,0.844,0.0221,0,-2.82,-4.17,-1.47,-4.17,-1.47,-2.1333999999999937,0.82,0.0191,0.0,0.0942,0.618,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.5,L
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,NR3C1,1,1,"Circadian Clock;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors;R-HSA-8849473|PTK6 Expression;R-HSA-8939902|Regulation of RUNX2 expression and activity;R-HSA-9615017|FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;R-HSA-9679191|Potential therapeutics for SARS;R-HSA-9768777|Regulation of NPAS4 gene transcription",9,0,Glucocorticoid receptor agonist,4.0,Completed,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,6.0,0.429,0.136,0.0,0.301,0.246,0.5,0.566,0.0807,0.0,0.46,0.103,0.0,0.511,0.0528,0.0,0.259,0.206,0,0.707,0.0388,0.0,0.0904,0.268,1,-3.69,-4.43,-2.95,-4.43,-2.95,4.086800000000004,0.188,0.526,1.0,0.0178,0.998,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.5,L
CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,0,0,,0,0,Bacterial 70S ribosome inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.976,0.00382,0.0,0.927,0.0102,0.0,0.934,0.00637,0.0,0.986,0.00122,0.0,0.994,0.00122,0.0,0.971,0.00597,0,0.958,0.00499,0.0,0.925,0.0107,0,0.355,-0.188,0.899,-0.188,0.899,-3.8833,0.962,0.00405,0.0,0.761,0.0127,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,L
CHEMBL1200510,ERYTHROMYCIN STEARATE,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,0,0,,0,0,Bacterial 70S ribosome inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.961,0.00356,0.0,0.996,0.00227,0.0,0.908,0.00757,0.0,0.979,0.00313,0.0,0.961,0.00312,0.0,0.743,0.0459,0,0.998,0.00146,0.0,0.457,0.0841,0,-5.41,-6.67,-4.14,-6.67,-4.14,8.11810000000001,0.264,0.291,0.5,0.807,0.00775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.5,L
CHEMBL1200531,ALFENTANIL HYDROCHLORIDE,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl,,0,0,,0,0,Mu opioid receptor agonist,,,0,0,mechanism_drug_candidate,0.0,0.858,0.0213,0.0,0.574,0.105,0.0,0.802,0.0238,0.0,0.522,0.0767,0.0,0.175,0.248,0.5,0.0489,0.461,1,0.968,0.00552,0.0,0.801,0.0421,0,-2.01,-2.98,-1.03,-2.98,-1.03,1.8056999999999992,0.281,0.297,0.5,0.0188,0.986,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-6.5,L
CHEMBL1200534,MOEXIPRIL HYDROCHLORIDE,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl,,0,0,R-HSA-2022377|Metabolism of Angiotensinogen to Angiotensins,1,1,Angiotensin-converting enzyme inhibitor,4.0,,0,0,pathway_drug_candidates;mechanism_drug_candidate,6.0,0.519,0.105,0.0,0.5,0.176,0.0,0.379,0.158,0.0,0.548,0.0742,0.0,0.329,0.126,0.0,0.805,0.0301,0,0.758,0.0275,0.0,0.164,0.172,1,-1.58,-2.13,-1.04,-2.13,-1.04,3.0061000000000013,0.617,0.0509,0.0,0.00311,0.96,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.5,L
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,NR3C1,1,1,"Circadian Clock;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors;R-HSA-8849473|PTK6 Expression;R-HSA-8939902|Regulation of RUNX2 expression and activity;R-HSA-9615017|FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;R-HSA-9679191|Potential therapeutics for SARS;R-HSA-9768777|Regulation of NPAS4 gene transcription",9,0,Glucocorticoid receptor agonist,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,6.0,0.501,0.108,0.0,0.584,0.121,0.0,0.607,0.0692,0.0,0.729,0.0353,0.0,0.671,0.0278,0.0,0.397,0.141,0,0.594,0.0525,0.0,0.0427,0.49,1,-4.71,-5.6,-3.82,-5.6,-3.82,2.466500000000001,0.458,0.207,0.0,0.102,0.445,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,L
CHEMBL1200542,DESOXYCORTICOSTERONE ACETATE,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,0,0,,0,0,Mineralocorticoid receptor agonist,,,0,0,mechanism_drug_candidate,0.0,0.615,0.072,0.0,0.56,0.101,0.0,0.864,0.0169,0.0,0.736,0.0332,0.0,0.8,0.0118,0.0,0.556,0.0895,0,0.383,0.094,0.0,0.0327,0.321,1,-4.83,-5.76,-3.91,-5.76,-3.91,4.266700000000004,0.408,0.218,0.0,0.253,0.0887,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.5,L
CHEMBL1200543,ANILERIDINE PHOSPHATE,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1.O=P(O)(O)O,,0,0,,0,0,Mu opioid receptor agonist,,,0,0,mechanism_drug_candidate,0.0,0.765,0.0318,0.0,0.242,0.29,0.5,0.953,0.00314,0.0,0.849,0.0161,0.0,0.334,0.103,0.0,0.972,0.00774,0,0.401,0.0876,0.0,0.731,0.0381,0,-3.24,-4.21,-2.27,-4.21,-2.27,2.479600000000001,0.204,0.468,1.0,0.0262,0.871,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,L
CHEMBL1200545,DIFLORASONE DIACETATE,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,NR3C1,1,1,"Circadian Clock;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;R-HSA-383280|Nuclear Receptor transcription pathway;R-HSA-4090294|SUMOylation of intracellular receptors;R-HSA-8849473|PTK6 Expression;R-HSA-8939902|Regulation of RUNX2 expression and activity;R-HSA-9615017|FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;R-HSA-9679191|Potential therapeutics for SARS;R-HSA-9768777|Regulation of NPAS4 gene transcription",9,0,Glucocorticoid receptor agonist,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,6.0,0.368,0.169,0.0,0.418,0.182,0.0,0.615,0.0703,0.0,0.84,0.0157,0.0,0.735,0.0199,0.0,0.501,0.113,0,0.731,0.0313,0.0,0.2,0.166,0,-5.35,-6.04,-4.66,-6.04,-4.66,2.9853000000000014,0.279,0.326,0.5,0.00814,0.962,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,L
CHEMBL1200561,DOXAZOSIN MESYLATE,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,,0,0,R-HSA-390696|Adrenoceptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-418597|G alpha (12/13) signalling events,3,0,,4.0,,0,0,pathway_drug_candidates,4.0,0.0999,0.463,1.0,0.757,0.0507,0.0,0.42,0.136,0.0,0.761,0.036,0.0,0.478,0.0647,0.0,0.133,0.303,1,0.379,0.103,0.0,0.877,0.0333,0,-2.36,-3.37,-1.34,-3.37,-1.34,1.2218000000000009,0.0722,0.784,1.0,0.161,0.415,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-3.0,L
CHEMBL1200562,HYDROCORTISONE VALERATE,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,0,,0,0,Glucocorticoid receptor agonist,,,0,0,mechanism_drug_candidate,0.0,0.535,0.0974,0.0,0.69,0.0806,0.0,0.472,0.113,0.0,0.451,0.105,0.0,0.702,0.0199,0.0,0.584,0.0848,0,0.805,0.028,0.0,0.77,0.0431,0,-5.6,-6.48,-4.71,-6.48,-4.71,3.522700000000002,0.358,0.234,0.0,0.108,0.474,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.5,L
CHEMBL1200563,CERIVASTATIN SODIUM,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],,0,0,,0,0,HMG-CoA reductase inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.57,0.0664,0.0,0.941,0.0135,0.0,0.443,0.135,0.0,0.0716,0.57,1.0,0.864,0.0101,0.0,0.843,0.0302,0,0.878,0.0135,0.0,0.646,0.0798,0,-1.66,-2.1,-1.23,-2.1,-1.23,0.5500000000000004,0.744,0.0408,0.0,0.07,0.747,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.5,L
CHEMBL1200578,THEOPHYLLINE SODIUM GLYCINATE,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+],,0,0,,0,0,Phosphodiesterase 4 inhibitor,,,0,0,mechanism_drug_candidate,0.0,0.435,0.149,0.0,0.988,0.000965,0.0,0.899,0.0083,0.0,0.944,0.00578,0.0,0.898,0.0047,0.0,0.906,0.0174,0,0.815,0.0245,0.0,0.94,0.00368,0,1.74,1.18,2.29,1.18,2.14,-6.340699999999999,0.928,0.00139,0.0,0.258,0.128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,L
